Segment,Metric,Value,Unit,Notes
Facility SaaS,Average Contract Value,$60000,USD / year,10-bed average initial deployment
Facility SaaS,Customer Acquisition Cost,$3000,USD,Inside sales + pilot conversion
Facility SaaS,Gross Margin,82,%,Cloud hosting + support
Facility SaaS,Net Retention,115,%,Upsell to more beds + additional modules
Facility SaaS,Logo Churn (annual),8,%,Healthcare SaaS benchmark 10-15
Facility SaaS,Lifetime,37.5,months,100% / (8% / 12 months)
Facility SaaS,Lifetime Value,$180000,USD,$60K × 0.82 × 3.75 years retention
Facility SaaS,LTV / CAC,60,×,Top quartile healthcare SaaS
Facility SaaS,Payback Period,2.0,months,CAC / (ACV × GM / 12)
,,,,
DTx Prescription,ARPU,$2160,USD / year,$180/month × 12
DTx Prescription,Customer Acquisition Cost,$350,USD,B2B2C through provider network
DTx Prescription,Gross Margin,85,%,Mostly cloud + content
DTx Prescription,Retention (annual),70,%,Chronic care adherence benchmark
DTx Prescription,Lifetime,3.3,years,
DTx Prescription,Lifetime Value,$6086,USD,$2160 × 0.85 × 3.3
DTx Prescription,LTV / CAC,17,×,Strong for consumer-facing DTx
,,,,
Pharma Deals,Typical deal size,$2000000,USD,Upfront + milestones + royalty
Pharma Deals,Sales cycle,9,months,Pre-FDA: longer. Post-FDA: shorter.
Pharma Deals,Close rate,25,%,From qualified opportunity
Pharma Deals,Gross Margin,95,%,Minimal ongoing cost per deal
,,,,
Blended,Rule of 40 (Y3),51,points,25% EBITDA + ~26% NRR growth = 51
Blended,Magic Number (Y2-Y3),1.8,dimensionless,Strong sales efficiency
Blended,Net Revenue Retention (Y3),118,%,Upsell + expansion beyond logo churn
